FranjaHoraria,Marraqueta,Hallulla,Marraqueta Integral,Hallulla Integral,Pan Hot Dog,Ciabatta,Baguette,Dobladita,Bocado de Dama,Amasado
09:00-10:00,0.26445,0.22478,0.12469,0.11636,0.05461,0.03737,0.03271,0.07204,0.04527,0.02773
10:00-11:00,0.26445,0.22478,0.12469,0.11636,0.05461,0.03737,0.03271,0.07204,0.04527,0.02773
11:00-12:00,0.26445,0.22478,0.12469,0.11636,0.05461,0.03737,0.03271,0.07204,0.04527,0.02773
12:00-13:00,0.23126,0.19657,0.10902,0.10175,0.1534,0.05249,0.04594,0.04336,0.02725,0.03895
13:00-14:00,0.25047,0.21289,0.11808,0.1102,0.08308,0.05685,0.04976,0.04696,0.02952,0.04219
14:00-15:00,0.25047,0.21289,0.11808,0.1102,0.08308,0.05685,0.04976,0.04696,0.02952,0.04219
15:00-16:00,0.26445,0.22478,0.12469,0.11636,0.05461,0.03737,0.03271,0.07204,0.04527,0.02773
16:00-17:00,0.26445,0.22478,0.12469,0.11636,0.05461,0.03737,0.03271,0.07204,0.04527,0.02773
17:00-18:00,0.2381,0.20238,0.11226,0.10477,0.11239,0.04375,0.03827,0.06486,0.04076,0.04244
18:00-19:00,0.18537,0.15757,0.08739,0.08156,0.25006,0.07079,0.06194,0.02249,0.01413,0.06869
19:00-20:00,0.18968,0.16123,0.08942,0.08346,0.23262,0.07243,0.06338,0.02301,0.01446,0.07029
20:00-21:00,0.2584,0.21963,0.12183,0.1137,0.07624,0.03651,0.03196,0.07039,0.04424,0.0271
