Time(Minutes);EntityID;ObjectName;ProcessID;StepName;Action
0;--;--;--;--;System initialization completed.
0;--;--;--;--;Time until next event of timer 'TimerRevisorDeficit' is '60' Minutes.
0;--;--;--;--;Time until next event of timer 'TimerHorno' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'TimerRevisionPull' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'TimerCriticidad' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'TimerBloqueHorario' is '0' Minutes.
0;--;--;--;--;Time until next event of timer 'SrcLotes.EntityArrivals' is '0' Minutes.
0;--;--;--;--;Number of event 'EvtLoteReactivo' occurrences required to trigger next event of timer 'SrcLotesReactivos.EntityArrivals' is '1' occurrence(s).
0;SnkLoteTerminado;SnkLoteTerminado;0.OnRunInitialized;[Begin];Process 'SnkLoteTerminado.OnRunInitialized' execution started.
0;SnkLoteTerminado;SnkLoteTerminado;0.OnRunInitialized;[Execute] RunInitializedAddOnProcess;Executing process 'ProcInicialización'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Begin];Process 'ProcInicialización' execution started.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign5;Assigning state variable 'ModeloBase.MStaInventario[1]' the value '240'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign6;Assigning state variable 'ModeloBase.MStaInventario[2]' the value '165'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign7;Assigning state variable 'ModeloBase.MStaInventario[3]' the value '120'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign8;Assigning state variable 'ModeloBase.MStaInventario[4]' the value '110'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign9;Assigning state variable 'ModeloBase.MStaInventario[5]' the value '55'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign10;Assigning state variable 'ModeloBase.MStaInventario[6]' the value '50'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign11;Assigning state variable 'ModeloBase.MStaInventario[7]' the value '45'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign12;Assigning state variable 'ModeloBase.MStaInventario[8]' the value '50'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign13;Assigning state variable 'ModeloBase.MStaInventario[9]' the value '50'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[Assign] Assign14;Assigning state variable 'ModeloBase.MStaInventario[10]' the value '60'. Previous value was '1'.
0;SnkLoteTerminado;ModeloBase;1.ProcInicialización;[End];Process 'ProcInicialización' execution ended.
0;SnkLoteTerminado;SnkLoteTerminado;0.OnRunInitialized;[End];Process 'SnkLoteTerminado.OnRunInitialized' execution ended.
0;SrcLotesReactivos;SrcLotesReactivos;0.OnRunInitialized;[Begin];Process 'SrcLotesReactivos.OnRunInitialized' execution started.
0;SrcLotesReactivos;SrcLotesReactivos;0.OnRunInitialized;[Create] Entities;Ignoring attempt to create '0' object(s) of entity type 'EntLote1'. The number of objects to create is not a positive quantity.
0;SrcLotesReactivos;SrcLotesReactivos;0.OnRunInitialized;[End];Process 'SrcLotesReactivos.OnRunInitialized' execution ended.
0;--;--;--;--;Firing event 'TimerHorno.Event'.
0;--;--;--;--;Timer ‘TimerHorno’ stopping condition detected.
0;--;--;--;--;Firing event 'TimerRevisionPull.Event'.
0;--;--;--;--;Time until next event of timer 'TimerRevisionPull' is '5' Minutes.
0;--;--;--;--;Firing event 'TimerCriticidad.Event'.
