FranjaHoraria,Marraqueta,Hallulla,Marraqueta Integral,Hallulla Integral,Pan Hot Dog,Ciabatta,Baguette,Dobladita,Bocado de Dama,Amasado
1,126.19,107.26,50.48,50.48,26.06,15.13,13.24,29.17,18.33,12.43
2,126.19,107.26,50.48,50.48,26.06,15.13,13.24,29.17,18.33,12.43
3,126.19,107.26,50.48,50.48,26.06,15.13,13.24,29.17,18.33,12.43
4,183.33,155.83,73.33,73.33,121.61,35.31,30.9,29.17,18.33,29.01
5,183.33,155.83,73.33,73.33,60.81,35.31,30.9,29.17,18.33,29.01
6,183.33,155.83,73.33,73.33,60.81,35.31,30.9,29.17,18.33,29.01
7,126.19,107.26,50.48,50.48,26.06,15.13,13.24,29.17,18.33,12.43
8,126.19,107.26,50.48,50.48,26.06,15.13,13.24,29.17,18.33,12.43
9,126.19,107.26,50.48,50.48,59.57,19.67,17.21,29.17,18.33,21.13
10,283.33,240.83,113.33,113.33,382.21,91.8,80.33,29.17,18.33,98.63
11,283.33,240.83,113.33,113.33,347.47,91.8,80.33,29.17,18.33,98.63
12,126.19,107.26,50.48,50.48,37.23,15.13,13.24,29.17,18.33,12.43
