HoraID,PMarraqueta,PMarraquetaAc,PHallulla,PHallullaAc,PMarrInt,PMarrIntAc,PHallInt,PHallIntAc,PHotDog,PHotDogAc,PCiabatta,PCiabattaAc,PBaguette,PBaguetteAc,PDobladita,PDobladitaAc,PBocDama,PBocDamaAc,PAmasado,PAmasadoAc
1,0.2645,0.2645,0.2248,0.4893,0.1247,0.6140,0.1164,0.7304,0.0546,0.7850,0.0374,0.8224,0.0327,0.8551,0.0720,0.9271,0.0453,0.9724,0.0277,1.0000
2,0.2645,0.2645,0.2248,0.4893,0.1247,0.6140,0.1164,0.7304,0.0546,0.7850,0.0374,0.8224,0.0327,0.8551,0.0720,0.9271,0.0453,0.9724,0.0277,1.0000
3,0.2645,0.2645,0.2248,0.4893,0.1247,0.6140,0.1164,0.7304,0.0546,0.7850,0.0374,0.8224,0.0327,0.8551,0.0720,0.9271,0.0453,0.9724,0.0277,1.0000
4,0.2313,0.2313,0.1966,0.4279,0.1090,0.5369,0.1018,0.6387,0.1534,0.7921,0.0525,0.8446,0.0459,0.8905,0.0434,0.9339,0.0273,0.9612,0.0390,1.0000
5,0.2505,0.2505,0.2129,0.4634,0.1181,0.5815,0.1102,0.6917,0.0831,0.7748,0.0569,0.8317,0.0498,0.8815,0.0470,0.9285,0.0295,0.9580,0.0422,1.0000
6,0.2505,0.2505,0.2129,0.4634,0.1181,0.5815,0.1102,0.6917,0.0831,0.7748,0.0569,0.8317,0.0498,0.8815,0.0470,0.9285,0.0295,0.9580,0.0422,1.0000
7,0.2645,0.2645,0.2248,0.4893,0.1247,0.6140,0.1164,0.7304,0.0546,0.7850,0.0374,0.8224,0.0327,0.8551,0.0720,0.9271,0.0453,0.9724,0.0277,1.0000
8,0.2645,0.2645,0.2248,0.4893,0.1247,0.6140,0.1164,0.7304,0.0546,0.7850,0.0374,0.8224,0.0327,0.8551,0.0720,0.9271,0.0453,0.9724,0.0277,1.0000
9,0.2381,0.2381,0.2024,0.4405,0.1123,0.5528,0.1048,0.6576,0.1124,0.7700,0.0438,0.8138,0.0383,0.8521,0.0649,0.9170,0.0408,0.9578,0.0424,1.0000
10,0.1854,0.1854,0.1576,0.3430,0.0874,0.4304,0.0816,0.5120,0.2501,0.7621,0.0708,0.8329,0.0619,0.8948,0.0225,0.9173,0.0141,0.9314,0.0687,1.0000
11,0.1897,0.1897,0.1612,0.3509,0.0894,0.4403,0.0835,0.5238,0.2326,0.7564,0.0724,0.8288,0.0634,0.8922,0.0230,0.9152,0.0145,0.9297,0.0703,1.0000
12,0.2584,0.2584,0.2196,0.4780,0.1218,0.5998,0.1137,0.7135,0.0762,0.7897,0.0365,0.8262,0.0320,0.8582,0.0704,0.9286,0.0442,0.9728,0.0271,1.0000
